author_id,total_publications,n_journal_article,n_conference_paper,n_book_chapter,n_review,n_other_document_type,first_active_year,last_active_year,degree,clustering_coefficient,core_number,author_name
-BuJoD0AAAAJ,28,21,7,0,0,0,2015,2025,24,0.3333333333333333,13,Ratih Amelia
-_VNTSIAAAAJ,10,5,4,0,0,1,2012,2024,8,0.7142857142857143,8,Agus Prihanto
-gGGkMcAAAAJ,16,16,0,0,0,0,2000,2026,19,0.3391812865497076,12,Faris Abdi El Hakim
-tpBKawAAAAJ,10,8,2,0,0,0,2017,2026,7,0.6190476190476191,7,Dimas Novian Aditia Syahputra
1hm7MM8AAAAJ,81,69,12,0,0,0,2000,2026,31,0.2989247311827957,13,Reza Rahmadian
1xVR-fgAAAAJ,8,3,5,0,0,0,2023,2025,8,0.9642857142857143,8,Riska Dhenabayu
2lw6P3IAAAAJ,26,26,0,0,0,0,2017,2025,18,0.30718954248366015,12,Muhammad Febrilian Dwi Syahputra
34CwHgkAAAAJ,58,55,3,0,0,0,2016,2025,17,0.25,11,Riza Akhsani Setyo Prayoga
4VXQFKYAAAAJ,82,59,23,0,0,0,2000,2026,19,0.3508771929824561,13,Renny Sari Dewi
4Yhmpg0AAAAJ,67,57,10,0,0,0,2000,2026,19,0.4502923976608187,13,Hujjatullah Fazlurrahman
4d_6xxEAAAAJ,38,36,2,0,0,0,2015,2026,12,0.4090909090909091,10,Ghea Sekar Palupi
5nAJx9wAAAAJ,51,51,0,0,0,0,2000,2025,16,0.36666666666666664,13,Muhammad Fachmi
5uDKOUMAAAAJ,26,19,7,0,0,0,2015,2025,6,0.13333333333333333,5,Heri Purnawan
6MXDzBQAAAAJ,200,165,35,0,0,0,2000,2026,38,0.4366998577524893,13,Lilik Anifah
6RBIukkAAAAJ,207,205,2,0,0,0,1995,2026,22,0.30303030303030304,13,Yatim Riyanto
6f4j4TYAAAAJ,73,71,2,0,0,0,2012,2025,16,0.5333333333333333,13,Mahendra Widyartono
6ifThF0AAAAJ,59,47,12,0,0,0,2000,2026,22,0.4025974025974026,13,Ika Diyah Candra Arifah
7EQjv9wAAAAJ,70,65,5,0,0,0,2000,2026,31,0.2623655913978495,13,Asmunin
8wFXNjYAAAAJ,81,56,22,2,1,0,2015,2026,26,0.37538461538461537,13,Naim Rochmawati
9BWyE0UAAAAJ,105,101,4,0,0,0,2000,2026,24,0.5471014492753623,13,Endryansyah
A9L19RMAAAAJ,70,42,28,0,0,0,2000,2026,26,0.4153846153846154,13,Pradini Puspitaningayu
AX-w0AEAAAAJ,14,11,3,0,0,0,2015,2026,17,0.33088235294117646,10,Hasanuddin Al-Habib
AYI1rosAAAAJ,75,75,0,0,0,0,2000,2026,23,0.49407114624505927,13,Nurhayati
AaC4eAwAAAAJ,14,10,4,0,0,0,2018,2025,10,0.5777777777777777,9,Fadhilah Qalbi Annisa
AjvtBWIAAAAJ,138,137,1,0,0,0,2000,2026,14,0.5054945054945055,13,Siti Masitoh
BIrtbD8AAAAJ,32,22,9,0,1,0,2000,2025,16,0.375,12,Ibnu Febry Kurniawan
C_EGqeMAAAAJ,6,3,3,0,0,0,2021,2025,2,1.0,2,Namira Roudlotul Jannah
CxdwNaYAAAAJ,115,96,19,0,0,0,2007,2027,34,0.2798573975044563,13,Wiyli Yustanti
DiBTIz4AAAAJ,26,14,12,0,0,0,2013,2026,12,0.45454545454545453,9,Riskyana Dewi Intan P
DrE0Lf8AAAAJ,33,24,9,0,0,0,2017,2026,17,0.5588235294117647,13,Fresha Kharisma
DsVi_OAAAAAJ,14,9,5,0,0,0,2000,2026,13,0.5897435897435898,12,Nadia Nur Thahirrah
EBgY5K0AAAAJ,15,14,1,0,0,0,2000,2026,8,0.25,8,Moch Badrus Sholeh
Em3aIV0AAAAJ,62,49,13,0,0,0,2016,2025,26,0.3261538461538461,13,Ramadhan Cakra Wibawa
FZ00CQ8AAAAJ,78,76,2,0,0,0,2000,2026,20,0.3368421052631579,13,Rizky Basatha
Hl6bqU8AAAAJ,50,46,4,0,0,0,2016,2026,27,0.2706552706552707,13,Rindu Puspita Wibawa
IJIEntMAAAAJ,169,140,29,0,0,0,2000,2026,32,0.28830645161290325,13,Yeni Anistyasari
Iq3gzh4AAAAJ,153,150,3,0,0,0,2000,2026,22,0.31601731601731603,13,Andi Mariono
JsEkeOsAAAAJ,33,29,4,0,0,0,2013,2026,28,0.2724867724867725,13,Ari Kurniawan
Jzuk6doAAAAJ,117,107,10,0,0,0,2013,2025,26,0.3046153846153846,13,Aries Dwi Indriyanti
L6O1lvkAAAAJ,44,37,7,0,0,0,2018,2026,19,0.6198830409356725,13,Tri Wrahatnolo
LeRoniwAAAAJ,43,32,11,0,0,0,2016,2025,21,0.319047619047619,13,Farhanna Mari
LsydBAMAAAAJ,228,218,10,0,0,0,2000,2026,34,0.3493761140819964,13,Puput Wanarti Rusimamto
MZCJPuIAAAAJ,202,200,2,0,0,0,2014,2026,33,0.24242424242424243,13,Fajar Arianto
MeGE8WAAAAAJ,12,12,0,0,0,0,2018,2025,7,0.8095238095238095,6,Binti Kholifah
