author_id,author_name
-BuJoD0AAAAJ,Ratih Amelia
-_VNTSIAAAAJ,Agus Prihanto
-gGGkMcAAAAJ,Faris Abdi El Hakim
-tpBKawAAAAJ,Dimas Novian Aditia Syahputra
1hm7MM8AAAAJ,Reza Rahmadian
1xVR-fgAAAAJ,Riska Dhenabayu
2lw6P3IAAAAJ,Muhammad Febrilian Dwi Syahputra
34CwHgkAAAAJ,Riza Akhsani Setyo Prayoga
4VXQFKYAAAAJ,Renny Sari Dewi
4Yhmpg0AAAAJ,Hujjatullah Fazlurrahman
4d_6xxEAAAAJ,Ghea Sekar Palupi
5nAJx9wAAAAJ,Muhammad Fachmi
5uDKOUMAAAAJ,Heri Purnawan
6MXDzBQAAAAJ,Lilik Anifah
6RBIukkAAAAJ,Yatim Riyanto
6f4j4TYAAAAJ,Mahendra Widyartono
6ifThF0AAAAJ,Ika Diyah Candra Arifah
7EQjv9wAAAAJ,Asmunin
8wFXNjYAAAAJ,Naim Rochmawati
9BWyE0UAAAAJ,Endryansyah
A9L19RMAAAAJ,Pradini Puspitaningayu
AX-w0AEAAAAJ,Hasanuddin Al-Habib
AYI1rosAAAAJ,Nurhayati
AaC4eAwAAAAJ,Fadhilah Qalbi Annisa
AjvtBWIAAAAJ,Siti Masitoh
BIrtbD8AAAAJ,Ibnu Febry Kurniawan
C_EGqeMAAAAJ,Namira Roudlotul Jannah
CxdwNaYAAAAJ,Wiyli Yustanti
DiBTIz4AAAAJ,Riskyana Dewi Intan P
DrE0Lf8AAAAJ,Fresha Kharisma
DsVi_OAAAAAJ,Nadia Nur Thahirrah
EBgY5K0AAAAJ,Moch Badrus Sholeh
Em3aIV0AAAAJ,Ramadhan Cakra Wibawa
FZ00CQ8AAAAJ,Rizky Basatha
Hl6bqU8AAAAJ,Rindu Puspita Wibawa
IJIEntMAAAAJ,Yeni Anistyasari
Iq3gzh4AAAAJ,Andi Mariono
JsEkeOsAAAAJ,Ari Kurniawan
Jzuk6doAAAAJ,Aries Dwi Indriyanti
L6O1lvkAAAAJ,Tri Wrahatnolo
LeRoniwAAAAJ,Farhanna Mari
LsydBAMAAAAJ,Puput Wanarti Rusimamto
MZCJPuIAAAAJ,Fajar Arianto
MeGE8WAAAAAJ,Binti Kholifah
MnI3Tm0AAAAJ,Sayyidul Aulia Alamsyah
Mr22rjsAAAAJ,Hesti Khuzaimah Nurul Yusufiyah
N40Vh64AAAAJ,Raden Roro Hapsari Peni Agustin T
N6RJilIAAAAJ,Anita Qoiriah
NO8mJucAAAAJ,Wahyu Sasongko Putro
OffRzhoAAAAJ,Dwi Fatrianto Suyatno
OwdLKtQAAAAJ,Fitria
R9rGmc4AAAAJ,Kartika Chandra Dewi
RES4QIQAAAAJ,Arif Widodo
RNJ3vNQAAAAJ,Harmon Prayogi
RvG7jG4AAAAJ,I Made Suartana
S6IJ51cAAAAJ,Unit Three Kartini
Smb2eg8AAAAJ,Nanang Hoesen H A
TAAC1-AAAAAJ,I Gde Agung Sri Sidhimantra
TB0QfMoAAAAJ,Miftahur Rohman
Thp8jg0AAAAJ,Dodik Arwin Dermawan
Tp_X_bYAAAAJ,Farid Baskoro
Tz8EfXcAAAAJ,Yuliani Puji Astuti
UL2-upoAAAAJ,Dana Azizah Rahmat
VNrCn4gAAAAJ,Ersha Aisyah Elfaiz
VwvPnrcAAAAJ,Nisa Dwi Septiyanti
W7ncZRgAAAAJ,Hafid Kholidi Hadi
WdhKN0sAAAAJ,Aditya Prapanca
XdEn69YAAAAJ,Cendra Devayana Putra
Y4YoRwUAAAAJ,Belgis Ainatul Iza
YADiqesAAAAJ,Ekohariadi
Yw9l51IAAAAJ,Ersha Aisyah Elfaiz
ZBAnb64AAAAJ,Ardhini Warih Utami
ZRCJXO0AAAAJ,Riska Dhenabayu
ZhJ08JkAAAAJ,Bachtiar Syaiful Bachri
ZjPpHWsAAAAJ,Erik Rahman
_VFGVQQAAAAJ,Berlian Maulidya Izzati
_ecYpyYAAAAJ,Dinda Galuh Guminta
_n2j0ZAAAAAJ,I Gusti Lanang Putra Eka Prismana
aW1lSOYAAAAJ,Aditya Chandra Hermawan
b4_EdJYAAAAJ,Moh Khoridatul Huda
b81qaDkAAAAJ,Anita Safitri
bTjH6IgAAAAJ,Achmad Kautsar
cPj-iOIAAAAJ,Ricky Eka Putra
cY1QGVEAAAAJ,Muhammad Sonhaji Akbar
dfwr-2YAAAAJ,Muhammad Fajar Wahyudi Rahman
eEtHoOAAAAAJ,Rahadian Bisma
fkxhjZ4AAAAJ,Ronggo Alit
hjllQ9gAAAAJ,Nur Kholis
hn5jrnAAAAAJ,Yuni Yamasari
hrVTt4kAAAAJ,Monica Cinthya
i0pkJZoAAAAJ,Yuni Rosita Dewi
iFSMsegAAAAJ,Elvira Wardah
itwnm-AAAAAJ,Achmad Fitro
j8HRV1wAAAAJ,Bambang Suprianto
jJBtZPgAAAAJ,Siska Puspitaningsih
jPKU5cAAAAAJ,Anggraeni Widya Purwita
lFCI_vsAAAAJ,Atik Wintarti
lmlBHlsAAAAJ,Widi Aribowo
n7IAKI0AAAAJ,Joko
n7ykK-IAAAAJ,Dhiyan Septa Wihara
nVac1BcAAAAJ,Rosita
nWPONc8AAAAJ,Lusia Rakhmawati
nbtuM4IAAAAJ,Parama Diptya Widayaka
ne31is4AAAAJ,Danang Ary Dewangga
nyyfjCgAAAAJ,Rifqi Abdillah
o4zdesUAAAAJ,Rakha Asyrofi
p1pK7E4AAAAJ,Subuh Isnur Haryudo
p4gdgRgAAAAJ,Rusijono
pCyzpjgAAAAJ,Nurul Laili
pb3-UjwAAAAJ,Moch Deny Pratama
psg8hdoAAAAJ,Bonda Sisephaputra
q-sbahIAAAAJ,Ulfa Siti Nuraini
q24bD6AAAAAJ,Martini Dwi Endah Susanti
qtFw9UMAAAAJ,Bambang Sujatmiko
rnlvOfEAAAAJ,Ibrohim
sHANI1gAAAAJ,Rifqi Firmansyah
t5f89iIAAAAJ,Andi Iwan Nurhidayat
tzjThtIAAAAJ,Elly Matul Imah
wEGsLv4AAAAJ,Ike Fitriyaningsih
wlGfsB0AAAAJ,Salamun Rohman Nudin
wwhACXoAAAAJ,M Adamu Islam Mashuri
yObeL8gAAAAJ,I Gusti Putu Asto Buditjahjanto
yXy6kW0AAAAJ,Harun Al Rosyid
y_OiarcAAAAJ,Yandhika Surya Akbar Gumilang
z7RWDi0AAAAJ,Tri Rijanto
zDgqPOsAAAAJ,Mustaji
