paper_id,title,year,journal,keywords_clean,document_type_clean,doi_clean,author_id_list,author_name_list,ieee_keyword_list,source,year_is_reliable
0,Perancangan Dan Implementasi Sistem Penyimpanan Digital Berbasis Web Di Cv. Skm Indonesia,2026,Journal of Informatics and Computer Science (JINACS),digital certificates;educational technology;digital learning;software design;software requirements,journal article,,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['it applications', 'systems and software', 'computer system implementation', 'internet applications', 'information technology and systems applications']",google_scholar,True
1,Pengembangan E-Modul Berbasis Web Dengan Model Pembelajaran Pjbl Pada Mata Pelajaran Tjkt Di Smkn 1 Kemlagi,2026,IT-Edu: Jurnal Information Technology and Educatio,quality (philosophy);educational qualification,journal article,10.26740/it-edu.v11i01.71923,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['modeling methodologies', 'models and principles', 'modeling techniques', 'enterprise modeling and management', 'knowledge management applications']",google_scholar,True
2,Pelatihan Aplikasi Komputer Untuk Penulisan Ilmiah Di Smpn 1 Pagerwojo Tulungagung Jawa Timur: Computer Application Training For Scientific Writing At Smpn 1 Pagerwojo …,2025,PengabdianMu: Jurnal Ilmiah Pengabdian kepada Masyarakat,educational technology;text generation;textual analysis;software documentation;computational linguistics,journal article,,"['WdhKN0sAAAAJ', 'hn5jrnAAAAAJ', 'N6RJilIAAAAJ', 'cPj-iOIAAAAJ', 'RvG7jG4AAAAJ']","['Aditya Prapanca', 'Yuni Yamasari', 'Anita Qoiriah', 'Ricky Eka Putra', 'I Made Suartana']","['text processing', 'computer literacy', 'computer uses in education', 'word processing', 'document and text processing']",google_scholar,True
3,Pengembangan Sistem Rekomendasi Film Berbasis Web Menggunakan Algoritma Collaborative Filtering,2025,Journal of Informatics and Computer Science (JINACS),sistem rekomendasi;collaborative filtering;film;movielens;web,journal article,10.26740/jinacs.v7n01.p50-56,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['information filtering', 'adaptive hypermedia', 'filtering', 'collaborative learning', 'adaptive hypermedia']",google_scholar,True
4,Implementasi Algoritma C5. 0 Pada Klasifikasi Status Gizi Balita Di Kecamatan Ponorogo,2025,Journal of Informatics and Computer Science (JINACS),status gizi balita;algoritma c5,journal article,10.26740/jinacs.v6n04.p1089-1098,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['methodologies and techniques', 'methodology and techniques', 'computer system implementation', 'process implementation and change', 'implementation']",google_scholar,True
5,Pengembangan Aplikasi Human Resource Information System Berbasis Mobile Dengan Absensi Wajah Menggunakan Metode Cnn Pada Bmt Bahtera Pekalongan,2025,Journal of Informatics and Computer Science (JINACS),hris;cnn;face detection;face verification;flutter;system usability scale;aplikasi berbasis mobile,journal article,10.26740/jinacs.v6n04.p1020-1038,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['organizational design', 'project and people management', 'workcell organization and planning', 'human information processing', 'information resource management']",google_scholar,True
6,Analisis Quality Of Service Menggunakan Metode Queue Tree Sebagai Manajemen Bandwidth Pada Jaringan Internet Pt. Timber Kreasi,2025,Journal of Informatics and Computer Science (JINACS),queue tree;quality of service;bandwidth management;wireshark;tiphon,journal article,10.26740/jinacs.v6n04.p1010-1019,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['quality of services', 'queuing theory', 'solution-level quality of service', 'performance and usage measurement', 'quality of service']",google_scholar,True
7,Modified Fata Morgana Algorithm Based On Levy Flight,2025,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science",fata morgana algorithm;metaheuristic;levy flight;novel algorithm;artificial algorithm,journal article,10.26740/vubeta.v2i1.37066,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['analysis of algorithms', 'numerical algorithms', 'numerical algorithms and problems', 'algorithm design and analysis', 'algorithms']",google_scholar,True
8,Pengembangan Sistem Penjadwalan Keberangkatan Kapal Berbasis Web Dengan Arsitektur Model View Controller Menggunakan Algoritma Genetika,2025,Journal of Informatics and Computer Science (JINACS),sistem penjadwalan kapal;algoritma genetika;laravel;model view controller,journal article,10.26740/jinacs.v6n03.p891-902,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['model development', 'modeling methodologies', 'modeling', 'project control & modeling', 'modeling techniques']",google_scholar,True
9,Sistem Rekomendasi Motif Batik Sesuai Dengan Kebutuhan Acara Pernikahan Pengguna Menggunakan Metode Content-Based Filtering,2025,Journal of Informatics and Computer Science (JINACS),computer science;art,journal article,10.26740/jinacs.v6n03.p823-829,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['information filtering', 'inverse filtering', 'filtering', 'pattern analysis', 'content analysis and indexing']",google_scholar,True
10,Rancang Bangun Sistem Reservasi Hotel Online Untuk Mendukung Digitalisasi Layanan Hotel X,2025,Journal of Informatics and Computer Science (JINACS),digital certificates;qualitative methods;digital currency;online learning;online learning,journal article,,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['electronic commerce', 'computer literacy', 'online information services', 'quality analysis and evaluation', 'quality of service']",google_scholar,True
11,Penerapan Dinov2 Pada Content Based Image Retrieval (Cbir) Dalam Website Katalog Digital Batik Surabaya,2025,Journal of Informatics and Computer Science (JINACS),batik surabaya;cbir;dinov2;katalog digital,journal article,10.26740/jinacs.v6n03.p678-687,"['WdhKN0sAAAAJ', 'cPj-iOIAAAAJ', 'N6RJilIAAAAJ']","['Aditya Prapanca', 'Ricky Eka Putra', 'Anita Qoiriah']","['image/video retrieval', 'multimedia databases', 'information search and retrieval', 'image databases', 'graphics recognition and interpretation']",google_scholar,True
12,Penerapan Load Balancing Dengan Metode Ecmp (Equal-Cost Multipath) Pada Jaringan Internet Di Pondok Pesantren Al Jihad Surabaya,2025,Journal of Informatics and Computer Science (JINACS),load balancing;metode ecmp;jaringan,journal article,10.26740/jinacs.v6n03.p639-646,['WdhKN0sAAAAJ'],['Aditya Prapanca'],"['multiagent systems', 'connection machines', 'load balancing and task assignment', 'internet applications', 'internetworking']",google_scholar,True
13,Susu Kedelai: Teknologi Pembuatan Dan Prospek Usahanya,2024,Mitra Edukasi dan Publikasi,discourse;pki;thematic analysis;textual analysis;discourse analysis,journal article,,"['WdhKN0sAAAAJ', 'RES4QIQAAAAJ', 'Jzuk6doAAAAJ']","['Aditya Prapanca', 'Arif Widodo', 'Aries Dwi Indriyanti']","['discourse', 'case studies in government', 'java', 'methodology and techniques', 'goverance']",google_scholar,True
