auc,average_precision,hits_at_10,mean_reciprocal_rank,model,subset,n_positive,n_negative
0.5,0.23863636363636365,0.0,0.007407407407407408,common neighbors jaccard,cold start,42,134
0.6313183949973944,0.5096608320324535,0.10891089108910891,0.05211385667188437,common neighbors jaccard,non cold start,101,152
0.5,0.23863636363636365,0.0,0.007407407407407408,adamic adar,cold start,42,134
0.6126563314226159,0.49530234356002323,0.07920792079207921,0.060514357550823024,adamic adar,non cold start,101,152
0.47601279317697226,0.24750996391930724,0.047619047619047616,0.04476466790600123,variational graph autoencoder graphsage,cold start,42,134
0.699843668577384,0.5723412559612058,0.15841584158415842,0.060458398878942846,variational graph autoencoder graphsage,non cold start,101,152
0.576226012793177,0.27582290384509905,0.047619047619047616,0.031452482678739166,relational graph convolutional network,cold start,42,134
0.6786086503387181,0.572731535490135,0.16831683168316833,0.07436282642681294,relational graph convolutional network,non cold start,101,152
0.6112295664534471,0.37269348926340595,0.21428571428571427,0.09182176348314604,rotate knowledge graph embedding,cold start,42,134
0.6662324127149557,0.5439673500377012,0.15841584158415842,0.0511177796321309,rotate knowledge graph embedding,non cold start,101,152
0.5492181947405828,0.2836530563298777,0.047619047619047616,0.05076523259387419,complex knowledge graph embedding,cold start,42,134
0.5279442417926004,0.4581256796657769,0.1188118811881188,0.053022952116168844,complex knowledge graph embedding,non cold start,101,152
