min_cluster_size,min_samples,n_clusters,noise_ratio,dbcv_validity_index
15,5,105,0.2910714285714286,0.22859082210570056
15,10,94,0.3521103896103896,0.20286961240266896
15,15,77,0.3717532467532468,0.19440374887415937
25,5,70,0.3222402597402597,0.22564142926174668
25,10,59,0.31672077922077924,0.28524784723397
25,15,57,0.35324675324675325,0.1785367059606882
40,5,2,0.0,0.12051552752265253
40,10,2,0.0,0.11826142169347686
40,15,2,0.0021103896103896102,0.05859344524929588
60,5,2,0.0,0.12051552752265253
60,10,2,0.0,0.11826142169347686
60,15,2,0.0021103896103896102,0.05859344524929588
90,5,2,0.0,0.12051552752265253
90,10,2,0.0,0.11826142169347686
90,15,2,0.0021103896103896102,0.05859344524929588
