head,relation,tail
author::WdhKN0sAAAAJ,writes,paper::0
paper::0,has topic,topic::9
paper::0,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::1
paper::1,has topic,topic::39
paper::1,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::2
author::hn5jrnAAAAAJ,writes,paper::2
author::N6RJilIAAAAJ,writes,paper::2
author::cPj-iOIAAAAJ,writes,paper::2
author::RvG7jG4AAAAJ,writes,paper::2
paper::2,has topic,topic::52
paper::2,published in,journal::PengabdianMu: Jurnal Ilmiah Pengabdian kepada Masyarakat
author::WdhKN0sAAAAJ,writes,paper::3
paper::3,has topic,topic::29
paper::3,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::4
paper::4,has topic,topic::28
paper::4,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::5
paper::5,has topic,topic::24
paper::5,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::6
paper::6,has topic,topic::16
paper::6,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::7
paper::7,has topic,topic::20
paper::7,published in,"journal::Vokasi Unesa Bulletin of Engineering, Technology and Applied Science"
author::WdhKN0sAAAAJ,writes,paper::8
paper::8,has topic,topic::17
paper::8,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::9
paper::9,has topic,topic::29
paper::9,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::10
paper::10,has topic,topic::9
paper::10,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::11
author::cPj-iOIAAAAJ,writes,paper::11
author::N6RJilIAAAAJ,writes,paper::11
paper::11,has topic,topic::26
paper::11,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::12
paper::12,has topic,topic::15
paper::12,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::13
author::RES4QIQAAAAJ,writes,paper::13
author::Jzuk6doAAAAJ,writes,paper::13
paper::13,has topic,topic::55
paper::13,published in,journal::Mitra Edukasi dan Publikasi
author::WdhKN0sAAAAJ,writes,paper::14
paper::14,has topic,topic::0
paper::14,published in,"journal::Vokasi Unesa Bulletin of Engineering, Technology and Applied Science"
author::WdhKN0sAAAAJ,writes,paper::15
paper::15,has topic,topic::12
paper::15,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::16
paper::16,has topic,topic::35
paper::16,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::17
author::fkxhjZ4AAAAJ,writes,paper::17
paper::17,has topic,topic::24
paper::17,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::WdhKN0sAAAAJ,writes,paper::18
paper::18,has topic,topic::30
paper::18,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::19
paper::19,has topic,topic::15
paper::19,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::20
paper::20,has topic,topic::0
paper::20,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::cPj-iOIAAAAJ,writes,paper::21
author::RvG7jG4AAAAJ,writes,paper::21
author::N6RJilIAAAAJ,writes,paper::21
author::8wFXNjYAAAAJ,writes,paper::21
author::WdhKN0sAAAAJ,writes,paper::21
author::hn5jrnAAAAAJ,writes,paper::21
paper::21,has topic,topic::28
paper::21,published in,journal::Vocational Education International Conference (VEIC-5)
author::WdhKN0sAAAAJ,writes,paper::22
paper::22,has topic,topic::29
paper::22,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::23
paper::23,has topic,topic::16
paper::23,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::24
paper::24,has topic,topic::6
paper::24,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::25
paper::25,has topic,topic::43
paper::25,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::26
paper::26,has topic,topic::15
paper::26,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::27
paper::27,has topic,topic::34
paper::27,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::28
paper::28,has topic,topic::39
paper::28,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
