model,auc,average_precision,hits_at_10,mean_reciprocal_rank
common neighbors jaccard,0.6392244119516847,0.4630896140228297,0.06993006993006994,0.03783410455512862
adamic adar,0.6302508680131058,0.44975676265756215,0.055944055944055944,0.042253074811674576
resource allocation index,0.6295906890312485,0.45450386086013606,0.055944055944055944,0.04886323280472207
preferential attachment,0.5757983275465792,0.3857487299663806,0.027972027972027972,0.020392826907522005
variational graph autoencoder graphsage,0.625287300112475,0.45630502758565633,0.055944055944055944,0.04279030358612316
relational graph convolutional network,0.6369749131986893,0.4590467535007728,0.055944055944055944,0.04253450064110869
rotate knowledge graph embedding raw,0.6530148173504816,0.5056043944711173,0.11188811188811189,0.057445823187730616
complex knowledge graph embedding raw,0.6407159274292141,0.48385840477392456,0.15384615384615385,0.04119731948848728
rotate knowledge graph embedding structural hybrid,0.6537238984791431,0.48256643211506667,0.06993006993006994,0.04798065290723643
complex knowledge graph embedding structural hybrid,0.6667563206024745,0.49946547956766807,0.09090909090909091,0.03974109752462836
ensemble rotate complex heuristics content,0.6673431463641253,0.5012753776102302,0.0979020979020979,0.04039257584669952
