model,seed,auc
RGCN,42,0.6369749131986893
VGAE,42,0.625287300112475
RotatE,42,0.6530148173504816
ComplEx,42,0.6407159274292141
RGCN,123,0.6400557484473568
VGAE,123,0.625287300112475
RotatE,123,0.6592987432148271
ComplEx,123,0.6600567264902929
RGCN,2024,0.6398601398601398
VGAE,2024,0.625287300112475
RotatE,2024,0.6503251992762483
ComplEx,2024,0.6208861069000928
RGCN,7,0.6495672160007825
VGAE,7,0.625287300112475
RotatE,7,0.6632842681793731
ComplEx,7,0.6269744241772214
RGCN,99,0.6305931830407354
VGAE,99,0.625287300112475
RotatE,99,0.6655337669323683
ComplEx,99,0.6177808205780233
