paper_id,topic_id,topic_label
0,10,"digital, currency, digital currency, certificates, digital certificates, digital learning"
1,81,"learning, online learning, online, learning online, technology, educational"
2,91,"qualitative, research, qualitative research, research qualitative, qualitative methods, methods"
3,45,"twitter, sentiment, sentiment analysis, text, classification, social"
4,58,"clustering, classification, mining, data, data mining, means"
5,65,"smart, iot, devices, smart devices, smart city, mobile"
6,42,"network, intrusion, peer, cloud networking, prevention, quality service"
7,25,"optimization, algorithm, metaheuristic, optimization algorithm, swarm, algorithms"
8,34,"control systems, control, pid, motor, actuators, systems"
9,45,"twitter, sentiment, sentiment analysis, text, classification, social"
10,10,"digital, currency, digital currency, certificates, digital certificates, digital learning"
11,54,"image, recognition, neural, face, classification, convolutional"
12,44,"load balancing, balancing, load, cloud, server, microservices"
13,87,"ethnography, studies, cultural studies, cultural, ethnography ethnography, qualitative research"
14,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
15,32,"qualitative, pendukung keputusan, sistem pendukung, keputusan, pendukung, research"
16,26,"design, user, centered design, centered, user centered, interface"
17,38,"iot, monitoring, iot iot, things, internet things, internet"
18,36,"learning, educational, learning management, website, management, management systems"
19,44,"load balancing, balancing, load, cloud, server, microservices"
20,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
21,58,"clustering, classification, mining, data, data mining, means"
22,4,"encryption, enkripsi, cryptography, decryption, algoritma, advanced"
23,42,"network, intrusion, peer, cloud networking, prevention, quality service"
24,8,"virtual, virtual reality, reality, virtualization, virtual machines, learning"
25,70,"learning, online learning, online, google, google classroom, learning online"
26,44,"load balancing, balancing, load, cloud, server, microservices"
27,64,"android, berbasis android, smart devices, software, devices, smart"
28,82,"learning, online learning, learning online, online, technology, educational"
29,70,"learning, online learning, online, google, google classroom, learning online"
30,84,"web, media, media pembelajaran, pengembangan media, pembelajaran, web3"
31,66,"android, learning, berbasis android, mobile, devices, interfaces"
32,90,"work, job, engagement, employee, qualitative, motivation"
33,84,"web, media, media pembelajaran, pengembangan media, pembelajaran, web3"
34,26,"design, user, centered design, centered, user centered, interface"
35,101,"information, educational, informasi, sistem informasi, information architecture, data"
36,84,"web, media, media pembelajaran, pengembangan media, pembelajaran, web3"
37,84,"web, media, media pembelajaran, pengembangan media, pembelajaran, web3"
38,42,"network, intrusion, peer, cloud networking, prevention, quality service"
39,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
40,78,"video, animasi, image, video understanding, video analysis, understanding"
41,28,"usability, user, user evaluation, evaluation, usability engineering, usability usability"
42,38,"iot, monitoring, iot iot, things, internet things, internet"
43,100,"data warehousing, warehousing, data, database, warehousing data, architecture"
44,4,"encryption, enkripsi, cryptography, decryption, algoritma, advanced"
45,69,"digital, learning, digital learning, digital literacy, literacy, educational"
46,28,"usability, user, user evaluation, evaluation, usability engineering, usability usability"
47,20,"security, information security, information, iso, audit, risk"
48,7,"tracking, detection, heart, object, heart rate, object tracking"
49,38,"iot, monitoring, iot iot, things, internet things, internet"
50,54,"image, recognition, neural, face, classification, convolutional"
51,42,"network, intrusion, peer, cloud networking, prevention, quality service"
52,45,"twitter, sentiment, sentiment analysis, text, classification, social"
53,66,"android, learning, berbasis android, mobile, devices, interfaces"
54,73,"learning, technology, educational, enhanced learning, technology enhanced, enhanced"
55,65,"smart, iot, devices, smart devices, smart city, mobile"
56,86,"learning, collaborative, collaborative learning, problem, modeling, student"
57,4,"encryption, enkripsi, cryptography, decryption, algoritma, advanced"
58,73,"learning, technology, educational, enhanced learning, technology enhanced, enhanced"
59,42,"network, intrusion, peer, cloud networking, prevention, quality service"
60,38,"iot, monitoring, iot iot, things, internet things, internet"
61,53,"deep, neural, neural networks, networks, deep learning, transfer learning"
62,55,"covid, epidemiology, covid 19, 19, health, 19 di"
63,21,"chemistry, principles, metal, properties, analytical chemistry, band"
64,44,"load balancing, balancing, load, cloud, server, microservices"
65,83,"learning, qualitative, media, educational, research, qualitative research"
66,38,"iot, monitoring, iot iot, things, internet things, internet"
67,8,"virtual, virtual reality, reality, virtualization, virtual machines, learning"
68,101,"information, educational, informasi, sistem informasi, information architecture, data"
69,22,"energy, renewable energy, renewable, energy renewable, energy systems, solar"
70,99,"web, usability, web usability, web3, semantic web, semantic"
71,43,"cloud, cloud computing, computing, computing cloud, cloud cloud, storage"
72,99,"web, usability, web usability, web3, semantic web, semantic"
73,99,"web, usability, web usability, web3, semantic web, semantic"
74,48,"neural, neural network, convolutional neural, convolutional, classification, cnn"
75,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
76,58,"clustering, classification, mining, data, data mining, means"
77,59,"forest, random, random forest, trees, decision trees, decision"
78,58,"clustering, classification, mining, data, data mining, means"
79,26,"design, user, centered design, centered, user centered, interface"
80,85,"learning, modeling, learner modeling, learning management, pembelajaran, learner"
81,19,"software, requirements, software design, design, software development, software requirements"
82,95,"qualitative, qualitative research, research, research qualitative, analysis, data analysis"
83,18,"user, customer, purchase, engagement, music, user engagement"
84,58,"clustering, classification, mining, data, data mining, means"
85,45,"twitter, sentiment, sentiment analysis, text, classification, social"
86,19,"software, requirements, software design, design, software development, software requirements"
87,58,"clustering, classification, mining, data, data mining, means"
88,99,"web, usability, web usability, web3, semantic web, semantic"
89,65,"smart, iot, devices, smart devices, smart city, mobile"
90,96,"qualitative, qualitative research, research, research qualitative, analysis, qualitative methods"
91,58,"clustering, classification, mining, data, data mining, means"
92,53,"deep, neural, neural networks, networks, deep learning, transfer learning"
93,5,"chatbot, chatbots, whatsapp, dialogue, dialogue systems, stemming"
94,45,"twitter, sentiment, sentiment analysis, text, classification, social"
95,18,"user, customer, purchase, engagement, music, user engagement"
96,92,"qualitative, qualitative research, research, research qualitative, data, data analysis"
97,19,"software, requirements, software design, design, software development, software requirements"
98,45,"twitter, sentiment, sentiment analysis, text, classification, social"
99,55,"covid, epidemiology, covid 19, 19, health, 19 di"
100,58,"clustering, classification, mining, data, data mining, means"
101,45,"twitter, sentiment, sentiment analysis, text, classification, social"
102,58,"clustering, classification, mining, data, data mining, means"
103,41,"human geography, geography, geografis, informasi geografis, geophysics, nearest"
104,100,"data warehousing, warehousing, data, database, warehousing data, architecture"
105,26,"design, user, centered design, centered, user centered, interface"
106,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
107,58,"clustering, classification, mining, data, data mining, means"
108,58,"clustering, classification, mining, data, data mining, means"
109,0,"game, game theory, gamification, theory, game edukasi, theory gamification"
110,74,"learning, online learning, online, learning online, student, motivation"
111,32,"qualitative, pendukung keputusan, sistem pendukung, keputusan, pendukung, research"
112,36,"learning, educational, learning management, website, management, management systems"
113,83,"learning, qualitative, media, educational, research, qualitative research"
114,32,"qualitative, pendukung keputusan, sistem pendukung, keputusan, pendukung, research"
115,99,"web, usability, web usability, web3, semantic web, semantic"
116,60,"augmented reality, augmented, reality, visual, user interface, interface"
117,58,"clustering, classification, mining, data, data mining, means"
118,32,"qualitative, pendukung keputusan, sistem pendukung, keputusan, pendukung, research"
119,53,"deep, neural, neural networks, networks, deep learning, transfer learning"
120,41,"human geography, geography, geografis, informasi geografis, geophysics, nearest"
121,41,"human geography, geography, geografis, informasi geografis, geophysics, nearest"
122,64,"android, berbasis android, smart devices, software, devices, smart"
123,36,"learning, educational, learning management, website, management, management systems"
124,65,"smart, iot, devices, smart devices, smart city, mobile"
125,59,"forest, random, random forest, trees, decision trees, decision"
