author_id,publication_count,sample_name
zDgqPOsAAAAJ,243,Mustaji
z7RWDi0AAAAJ,242,Tri Rijanto
LsydBAMAAAAJ,228,Puput Wanarti Rusimamto
ZhJ08JkAAAAJ,217,Bachtiar Syaiful Bachri
6RBIukkAAAAJ,207,Prof.Dr.Yatim Riyanto
p1pK7E4AAAAJ,204,Subuh Isnur Haryudo
MZCJPuIAAAAJ,202,Fajar Arianto
6MXDzBQAAAAJ,200,Lilik Anifah
yObeL8gAAAAJ,183,I Gusti Putu Asto Buditjahjanto
j8HRV1wAAAAJ,182,Bambang Suprianto
WdhKN0sAAAAJ,180,Aditya Prapanca
IJIEntMAAAAJ,169,Yeni Anistyasari
hjllQ9gAAAAJ,164,Nur Kholis
Iq3gzh4AAAAJ,153,Andi Mariono
lmlBHlsAAAAJ,153,Widi Aribowo
Thp8jg0AAAAJ,145,Dodik Arwin Dermawan
AjvtBWIAAAAJ,138,Siti Masitoh
qtFw9UMAAAAJ,134,Bambang Sujatmiko
hn5jrnAAAAAJ,132,Yuni Yamasari
cPj-iOIAAAAJ,126,Ricky Eka Putra
Tp_X_bYAAAAJ,124,Farid Baskoro
p4gdgRgAAAAJ,123,Prof.Dr. Rusijono
fkxhjZ4AAAAJ,118,Ronggo Alit
Jzuk6doAAAAJ,117,Aries Dwi Indriyanti
CxdwNaYAAAAJ,115,Wiyli Yustanti
bTjH6IgAAAAJ,115,Achmad Kautsar
N6RJilIAAAAJ,114,Anita Qoiriah
S6IJ51cAAAAJ,113,Unit Three Kartini
9BWyE0UAAAAJ,105,Endryansyah
nWPONc8AAAAJ,103,Lusia Rakhmawati
_n2j0ZAAAAAJ,95,I Gusti Lanang Putra Eka Prismana
RES4QIQAAAAJ,94,Arif Widodo
RvG7jG4AAAAJ,87,I Made Suartana
i0pkJZoAAAAJ,85,Yuni Rosita Dewi
Tz8EfXcAAAAJ,83,Yuliani Puji Astuti
wlGfsB0AAAAJ,83,Salamun Rohman Nudin
sHANI1gAAAAJ,82,Rifqi Firmansyah
4VXQFKYAAAAJ,82,Renny Sari Dewi
1hm7MM8AAAAJ,81,Reza Rahmadian
