topic_id,topic_label,n_papers
38,"iot, monitoring, iot iot, things, internet things, internet",328
86,"learning, collaborative, collaborative learning, problem, modeling, student",274
22,"energy, renewable energy, renewable, energy renewable, energy systems, solar",212
96,"qualitative, qualitative research, research, research qualitative, analysis, qualitative methods",154
0,"game, game theory, gamification, theory, game edukasi, theory gamification",137
58,"clustering, classification, mining, data, data mining, means",131
100,"data warehousing, warehousing, data, database, warehousing data, architecture",121
25,"optimization, algorithm, metaheuristic, optimization algorithm, swarm, algorithms",110
19,"software, requirements, software design, design, software development, software requirements",99
94,"teacher, educational, education, qualitative, research, pedagogical",96
16,"trainer, training, pengembangan trainer, iot, pre training, teacher training",95
83,"learning, qualitative, media, educational, research, qualitative research",95
65,"smart, iot, devices, smart devices, smart city, mobile",89
91,"qualitative, research, qualitative research, research qualitative, qualitative methods, methods",89
45,"twitter, sentiment, sentiment analysis, text, classification, social",88
80,"video, video analysis, video understanding, understanding, media video, understanding video",86
87,"ethnography, studies, cultural studies, cultural, ethnography ethnography, qualitative research",82
97,"qualitative, qualitative research, research, research qualitative, educational, analysis",81
32,"qualitative, pendukung keputusan, sistem pendukung, keputusan, pendukung, research",79
10,"digital, currency, digital currency, certificates, digital certificates, digital learning",79
88,"qualitative, qualitative research, research, research qualitative, educational, pedagogical",75
18,"user, customer, purchase, engagement, music, user engagement",75
54,"image, recognition, neural, face, classification, convolutional",74
85,"learning, modeling, learner modeling, learning management, pembelajaran, learner",73
42,"network, intrusion, peer, cloud networking, prevention, quality service",71
75,"learning, strategies, metacognitive, cognitive, self, metacognitive strategies",71
93,"teacher, professional, student, professional development, competencies, teacher competencies",71
99,"web, usability, web usability, web3, semantic web, semantic",71
95,"qualitative, qualitative research, research, research qualitative, analysis, data analysis",69
81,"learning, online learning, online, learning online, technology, educational",68
101,"information, educational, informasi, sistem informasi, information architecture, data",68
90,"work, job, engagement, employee, qualitative, motivation",68
28,"usability, user, user evaluation, evaluation, usability engineering, usability usability",67
